,nyt10m_rand_500_NUM_TRIPLES,nyt10m_rand_500_NUM_TOKENS_PER_TRIPLE,nyt10m_rand_500_TS,nyt10m_rand_500_US,nyt10m_rand_500_FS,nyt10m_rand_500_GS,nyt10m_rand_500_CS,wiki20m_rand_500_NUM_TRIPLES,wiki20m_rand_500_NUM_TOKENS_PER_TRIPLE,wiki20m_rand_500_TS,wiki20m_rand_500_US,wiki20m_rand_500_FS,wiki20m_rand_500_GS,wiki20m_rand_500_CS
vicuna-1.5-7b,3.09,7.79,42.0,60.6,80.0,49.4,40.3,3.02,7.47,48.3,72.9,50.0,55.8,55.0
vicuna-1.3-33b,4.69,7.23,47.8,69.4,75.1,55.2,48.7,4.06,6.99,49.8,73.0,84.4,59.7,62.7
llama-2-7b,1.01,0.0,21.3,0.0,86.7,3.8,4.7,3.13,6.3,37.9,63.3,73.4,58.6,49.0
llama-2-70b,4.97,6.94,45.4,69.1,81.7,63.5,56.0,4.08,6.87,45.2,69.6,88.1,66.1,64.9
wizardlm-70b,4.39,4.21,30.5,38.6,43.9,32.7,31.3,3.56,5.62,43.1,59.4,67.3,47.9,52.7
text-davinci-003,4.87,7.13,50.6,71.1,85.8,60.0,58.0,3.73,8.16,51.8,78.2,91.3,59.0,63.3
gpt-3.5-turbo-instruct,5.81,7.02,54.2,70.1,84.0,62.5,58.8,4.79,7.67,54.0,75.3,90.1,62.2,60.2
gpt-3.5-turbo-1106,4.13,6.2,43.3,55.9,68.2,42.4,32.7,3.55,7.7,48.2,61.0,85.2,49.8,47.7
gpt-4,5.14,7.39,56.2,70.7,89.0,60.9,57.1,3.76,8.07,59.0,74.1,93.2,60.4,59.9
gpt-4-1106-preview,5.29,7.81,58.1,70.2,89.6,-,57.7,4.16,7.58,56.4,75.8,92.4,-,64.6
mistral,5.66,7.4,40.6,63.9,75.4,-,38.0,3.98,6.88,43.3,67.8,83.6,-,55.1
zephyr-7b-beta,7.8,7.2,36.5,67.9,64.9,-,48.5,5.23,6.75,40.3,71.8,75.5,-,60.7
galactica-30b,8.31,8.65,29.7,70.6,-,-,33.5,5.98,8.39,35.3,68.5,-,-,52.2
openchat,5.22,7.2,54.0,70.7,-,-,58.3,4.27,6.96,57.5,77.2,-,-,64.6
