,tacred_rand_800_NUM_TRIPLES,tacred_rand_800_NUM_TOKENS_PER_TRIPLE,tacred_rand_800_TS,tacred_rand_800_US,tacred_rand_800_FS,tacred_rand_800_GS,tacred_rand_800_CS,wiki80_rand_800_NUM_TRIPLES,wiki80_rand_800_NUM_TOKENS_PER_TRIPLE,wiki80_rand_800_TS,wiki80_rand_800_US,wiki80_rand_800_FS,wiki80_rand_800_GS,wiki80_rand_800_CS
vicuna-1.5-7b,2.55,8.65,40.4,85.0,75.6,50.3,36.2,2.38,7.91,41.3,76.8,81.0,51.2,36.6
vicuna-1.3-33b,4.3,7.31,44.3,75.5,71.0,58.5,47.2,3.81,7.23,47.3,62.1,79.9,60.2,46.8
llama-2-7b,2.79,6.25,36.7,85.3,66.9,57.2,37.8,2.36,5.76,25.8,69.8,60.4,53.2,31.4
llama-2-70b,4.07,6.39,40.8,79.3,74.5,67.2,56.4,3.68,6.62,41.5,64.8,82.4,65.6,49.4
wizardlm-70b,2.07,2.85,23.3,90.7,28.0,24.7,9.8,2.08,3.21,25.6,84.9,36.6,27.3,21.4
text-davinci-003,4.39,7.08,56.1,79.8,84.0,63.4,58.6,4.03,6.82,59.2,65.3,89.2,64.0,51.9
gpt-3.5-turbo-instruct,5.03,6.99,58.6,80.5,81.6,63.8,58.6,4.39,6.88,60.2,69.3,88.7,63.9,54.8
gpt-3.5-turbo-1106,3.94,6.82,52.7,81.1,76.4,52.1,39.7,3.38,6.31,50.9,69.5,75.6,48.1,36.0
gpt-4,4.25,7.49,59.1,80.4,87.6,60.5,57.8,3.96,7.1,65.4,66.2,92.3,64.2,47.8
gpt-4-1106-preview,4.43,7.79,58.5,82.6,88.6,61.9,63.4,4.01,7.57,61.9,69.4,92.8,63.9,47.1
mistral,4.7,7.05,43.9,78.6,71.0,53.5,41.2,3.56,7.76,44.6,67.8,83.9,57.6,38.5
zephyr-7b-beta,5.38,7.64,36.4,78.6,65.8,62.9,44.9,4.51,7.77,43.2,68.1,77.8,63.0,42.6
galactica-30b,8.46,8.86,33.4,43.9,57.5,-,30.9,5.58,7.17,35.0,47.9,63.1,-,38.4
openchat,4.26,7.13,50.7,80.8,-,-,60.0,3.97,7.02,53.8,69.7,-,-,50.6
